rst:0x15 (USB_UART_CHIP_RESET),boot:0xc (SPI_FAST_FLASH_BOOT)
-74.60,-373.02,860.32
-66.67,-357.14,863.49
19.05,-307.94,819.05
103.17,-274.60,836.51
184.13,-246.03,890.48
304.76,-171.43,965.08
307.94,-152.38,1019.05
-,-,-
153.97,-458.73,1479.37
1.59,-280.95,944.44
50.79,-323.81,949.21
103.17,-330.16,936.51
155.56,-279.36,920.64
260.32,-177.78,944.44
326.98,-153.97,963.49
336.51,-68.25,985.71
333.33,-47.62,988.89
357.14,-71.43,1014.29
301.59,-53.97,1017.46
249.21,-117.46,1012.70
106.35,-130.16,1012.70
49.21,-171.43,842.86
-42.86,-180.95,1039.68
-98.41,-331.75,1044.44
-98.41,-250.79,996.83
-104.76,-282.54,985.71
-73.02,-331.75,919.05
-79.36,-298.41,884.13
-23.81,-307.94,842.86
20.64,-307.94,869.84
123.81,-282.54,885.71
204.76,-249.21,885.71
280.95,-201.59,934.92
328.57,-146.03,988.89
-,-,-
71.43,-453.97,1525.40
-4.76,-257.14,987.30
-26.98,-273.02,973.02
1.59,-300.00,936.51
50.79,-300.00,888.89
100.00,-282.54,860.32
179.36,-219.05,888.89
225.40,-177.78,892.06
303.17,-120.64,987.30
331.75,-103.17,969.84
325.40,-52.38,1020.64
304.76,103.17,1047.62
334.92,-23.81,1049.21
255.56,-76.19,995.24
126.98,-153.97,1063.49
46.03,-179.36,1068.25
-3.17,-252.38,1066.67
-74.60,-255.56,1042.86
-76.19,-323.81,1022.22
-74.60,-357.14,968.25
-47.62,-377.78,841.27
23.81,-376.19,887.30
80.95,-325.40,792.06
147.62,-304.76,834.92
255.56,-253.97,884.13
312.70,-200.00,946.03
385.71,-150.79,965.08
-,-,-
53.97,-384.13,1452.38
-3.17,-279.36,960.32
50.79,-301.59,912.70
107.94,-306.35,871.43
174.60,-257.14,895.24
555.56,-152.38,890.48
353.97,-119.05,942.86
358.73,-66.67,968.25
377.78,-23.81,995.24
334.92,-3.17,1041.27
287.30,20.64,1065.08
209.52,-119.05,1073.02
133.33,-155.56,1114.29
-19.05,-171.43,1065.08
-53.97,-252.38,1063.49
-73.02,-306.35,1042.86
-68.25,-301.59,920.64
-25.40,-358.73,863.49
-20.64,-331.75,846.03
47.62,-307.94,815.87
128.57,-304.76,834.92
204.76,-250.79,895.24
301.59,-200.00,960.32
350.79,-125.40,990.48
353.97,-71.43,1012.70
-,-,-
149.21,-501.59,1500.00
-201.59,-296.83,965.08
31.75,-309.52,911.11
109.52,-306.35,890.48
184.13,-230.16,887.30
277.78,-196.83,893.65
334.92,-103.17,987.30
384.13,-50.79,1015.87
334.92,19.05,1046.03
303.17,23.81,1100.00
257.14,-26.98,1046.03
150.79,-150.79,1092.06
44.44,-171.43,1063.49
-73.02,-195.24,1061.90
-96.83,-230.16,1017.46
-122.22,-328.57,1036.51
-146.03,-328.57,968.25
-96.83,-352.38,885.71
-71.43,-307.94,847.62
-1.59,-326.98,866.67
82.54,-295.24,860.32
184.13,-250.79,888.89
247.62,-198.41,944.44
261.90,-100.00,965.08
-,-,-
149.21,-480.95,1501.59
49.21,-282.54,893.65
128.57,-301.59,863.49
196.83,-196.83,890.48
300.00,-150.79,946.03
331.75,-79.36,993.65
307.94,-30.16,1012.70
279.36,-3.17,1050.79
231.75,-77.78,1049.21
177.78,-150.79,1038.10
57.14,-147.62,1093.65
-3.17,-226.98,1096.83
-107.94,-230.16,1076.19
-93.65,-258.73,1014.29
-101.59,-328.57,965.08
-76.19,-328.57,865.08
-47.62,-347.62,838.10
-22.22,-349.21,857.14
58.73,-328.57,819.05
177.78,-304.76,866.67
231.75,-277.78,936.51
312.70,-204.76,947.62
-,-,-
80.95,-485.71,1579.37
-3.17,-282.54,946.03
25.40,-323.81,882.54
123.81,-331.75,865.08
198.41,-301.59,865.08
258.73,-198.41,885.71
333.33,-144.44,922.22
411.11,-122.22,987.30
387.30,-101.59,1017.46
401.59,-25.40,1038.10
279.36,-50.79,1073.02
203.17,-95.24,1047.62
157.14,-201.59,1088.89
53.97,-171.43,1023.81
-20.64,-174.60,1017.46
-68.25,-225.40,1039.68
-96.83,-231.75,1039.68
-74.60,-325.40,993.65
-95.24,-352.38,920.64
-44.44,-334.92,868.25
3.17,-333.33,846.03
52.38,-296.83,839.68
223.81,-282.54,869.84
252.38,-68.25,890.48
312.70,30.16,941.27
-,-,-
31.75,-498.41,1552.38
-73.02,-273.02,1011.11
-23.81,-325.40,969.84
4.76,-347.62,887.30
106.35,-330.16,817.46
206.35,-250.79,838.10
303.17,-176.19,887.30
380.95,-101.59,936.51
431.75,-52.38,1017.46
428.57,-47.62,1074.60
385.71,-22.22,1050.79
312.70,-79.36,1063.49
258.73,-150.79,996.83
123.81,-195.24,1017.46
57.14,-200.00,1014.29
-25.40,-249.21,1014.29
-74.60,-246.03,1039.68
-79.36,-303.17,969.84
-69.84,-328.57,968.25
-53.97,-304.76,884.13
-3.17,-357.14,839.68
76.19,-349.21,842.86
153.97,-326.98,820.64
287.30,-274.60,942.86
-,-,-
152.38,-434.92,1530.16
-25.40,-298.41,987.30
-4.76,-323.81,965.08
26.98,-377.78,914.29
125.40,-353.97,836.51
204.76,-252.38,819.05
